,Line Item Quantity,Freight Cost (USD),Vendor,meds
91,8249,12595.81,54,Imuran (50)
92,200,463.0,18,Fish Oil
93,80,260.0,18,( such as having an issue with my asthma)
94,32,11103.234819296562,18,MVI
95,46,893.22,2,Amlodipine 10 mg
96,3025,11103.234819296562,58,Citrical with Vit.D
97,3500,11103.234819296562,58,Citalopram 10mg
98,1008,11103.234819296562,58,Vitamin D3 25mcg QD
99,960,11103.234819296562,58,Promethazine
100,1800,11103.234819296562,58,olmesartan
101,1200,11103.234819296562,58,budesonide
102,346,11103.234819296562,58,Valium
103,5300,11103.234819296562,58,Claritan
104,342,11103.234819296562,58,Vitamin D3 5000 IU daily
105,2700,11103.234819296562,58,oxymorphone
106,3735,11103.234819296562,58,Milrinone
107,6000,11103.234819296562,58,Tri Femynor.
108,11672,11103.234819296562,58,Armour Thyroid; Simvastatin; Singular: Meloxicam; Lisinoprol; Prilosec; Zolpidem - ASA 325;  Melatonin; Zyrtec
109,20,1172.11,49,incruse
110,10240,14806.48,2,Calcium with D3
111,400,7642.97,2,Cranberry
112,30,11103.234819296562,58,bisoprolol
113,80,11103.234819296562,58,methylprednisolone 4 mg
114,1000,3134.85,58,bupropion HCL
115,60,3128.19,49,protonix
116,7500,16835.31,50,Biotin 5000mg
117,6395,24514.33,50,QD
118,55356,37404.74,28,Salmon Oil
119,1000,8074.03,15,Albuterol HFA PRN
120,8,3366.04,2,Nuva ring
121,3500,6341.88,13,Bacoflen
122,5,684.42,49,omeprazole 20mg daily
123,67,401.97,50,Hydroxychloroquine 200 mg
124,400,14.36,18,vitamin B12
125,220,1736.18,70,Glucosomin-eCondroitan
126,50,11103.234819296562,58,Mirabegron
127,5000,11103.234819296562,58,Pioglitazone 30 mg daily
128,460,11103.234819296562,58,divalproex
129,147,1816.57,15,Keflex
130,6,1039.5,49,Vit. C
131,2800,3292.15,18,Levothyroxine 112 NCH
132,15,1195.29,49,Flunisolide Soln.
133,260,11103.234819296562,34,Lo lo estrin with iron
134,894,4861.14,13,fluoxetine 40mg 1 qd
135,25100,18772.94,22,timolol maleate eye drops
136,95500,42453.21,62,Eye
137,900,4989.87,70,Turmuric
138,80,11103.234819296562,2,Vitamin D-3 25 mg 1 PO QD
139,70000,31858.09,22,Nifediac
140,71577,11103.234819296562,22,levothyroxine 25mcg daily
141,5605,11103.234819296562,22,doxycycline
142,200,11103.234819296562,12,Calcium Citrate
143,25000,21439.59,22,no other meds reported
144,375,4445.75,15,Cholecalciferol
145,4650,24859.45,12,3 tabs Qday and Zyrtec 10mg Qday
146,1577,11103.234819296562,18,AMLODIPINE/BENAZAPRIL
147,3500,5858.57,12,Clopidogrel
148,4270,11103.234819296562,18,and multivitamin.
149,1000,13762.41,13,Cyclobenzapine 5 mg BID
150,1000,11103.234819296562,13,refresh tears
151,1000,11103.234819296562,13,Dhea Supplements
152,3000,4454.62,13,Apri
153,22500,16095.39,13,Lisinopril/Hctz
154,500,1767.38,2,19th or the week pr
155,10000,25165.3,67,Lyrica Capsule 50 MG
156,1609,7922.24,10,Avalide
157,30,11103.234819296562,38,vitamin B
158,100,11103.234819296562,38,Vit. E
159,100,2535.4,2,Levothyroxine sodium
160,10000,28002.75,21,sevelamer
161,1099,1511.25,46,F DHEA 50 MG ORAL CAPSUL
162,1200,2429.85,13,loratadine  10 mg
163,50,11103.234819296562,49,liothronine
164,650,2577.27,50,Atenolol 50mg
165,100,11103.234819296562,38,Apple cider vinegar gummies
166,450,2496.62,70,Humira
167,10270,18864.37,21,Zertec 10mg OD
168,9000,55746.59,70,Ajovy
169,6040,24689.0,70,amlopidine 10 mg
170,4300,11103.234819296562,50,25mg
171,289,1104.69,21,ibuprofen 400 mgm qd
172,3000,5298.9,50,Celexa 20 mg
173,70,11103.234819296562,50,Trelegy daily
174,1116,5175.72,50,sevelamer
175,1116,7118.12,50,Victoza injection
176,832,3740.04,70,Ergocalcif
177,213,959.46,50,FOSAMAX
178,10,604.0,49,Biotene Dry mouth moisturizing spray
179,1634,11103.234819296562,50,Omeprazole 20 mg daily
180,400,11103.234819296562,58,finasteride
181,6,11103.234819296562,58,Calcium Carbonate 600mg BID
182,500,11103.234819296562,58,isosorbide ER 60mg
183,10080,4159.45,13,E.  Eye drops - Prednisolone
184,6720,3796.05,46,vitamin B12
185,250,11103.234819296562,50,peri-colace 8.6-5
186,300,11103.234819296562,58,HTCZ
187,300,11103.234819296562,58,is there snow dyspnea
188,100,11103.234819296562,58,Tylenol Pravastatin 40mg Hydrochlorothiazide 25mg Diltiazem ER 240mg
189,1130,11103.234819296562,50,Mirapex
190,400,3013.09,18,ARTHRTS PAIN TAB 650MG  Give 2 tablet orally at bedtime for PAIN TD=1300 mg
191,10780,7575.6,62,Turmuric
192,670,11103.234819296562,58,75 mg pm Omeprazole 40 mg am Sudafed 10mg am Imodium 1/2 tab am Flonase 1 squirt each nares am
193,2000,11103.234819296562,58,Advair Diskus
194,1000,11103.234819296562,58,Headache
195,30,11103.234819296562,58,Synthroid .110
196,1123,2851.72,50,mag-ox
197,340,5446.06,70,Enegen-c with vitamin D Gummies
198,47879,30408.04,13,sodium bicarb.
199,61021,38120.96,13,Perphenazine 16mg
200,4300,11103.234819296562,13,implanted baclofen pump
201,18030,5822.44,13,Prenatal vitamins
202,50,11103.234819296562,58,Sertaline
203,250,11103.234819296562,58,Flo gummy vitamins
204,60,11103.234819296562,58,propanolol
205,12,11103.234819296562,58,Venlafaxine Hcl ER 150 daily
206,3000,7303.52,50,Percocet discontinued on 12/31.
207,213,1047.39,50,thiamine
208,6502,24870.05,50,1X a day; Simvastatin
209,6875,19992.75,50,Celexa 20 mg
210,434,2709.98,2,Aspirin 81mg
211,1100,2568.6,13,home medication listed in chart: albuterol
212,8400,3247.73,46,amiodarone
213,3648,2335.19,22,b complex vitamin
214,108,648.27,72,Norvasc 5 mg Atoravastatin 10 mg Hztz 25 mg Vitamin B 50
215,5958,11066.17,21,Nature's Truth Melatonin 10 mg gummies
216,3982,7303.25,21,Bumex
217,6998,44347.71,61,Juven POW
218,300,11103.234819296562,58,Celexa 20 mg
219,40,11103.234819296562,58,marine collagen cap
220,3470,19882.25,61,Rfl:  ?  aspiri
221,3510,22433.91,61,Flurosemide
222,5000,11103.234819296562,17,Xopenex EFA
223,6000,2653.27,13,Levothyroxine Beta blocker Ibuprofen
224,1300,11103.234819296562,58,Vit B1
225,120,11103.234819296562,58,tylenol/imodium
226,6,11103.234819296562,58,trazadone. dexilant
227,40,11103.234819296562,58,AREDS 2 - 2 capsules QD
228,5751,22451.67,50,Glucosamine Chrondoitin
229,3,963.34,36,just vitamins
230,100,692.38,21,atorvastatin 80 mg once daily
231,68,1003.52,70,Breo
232,9000,9809.7,13,TALTZ
233,700,11103.234819296562,13,Omega complex
234,25000,7933.38,42,dulcolax supp
235,1680,3241.06,50,AND LUMIGAN
236,2100,1903.54,13,magnesium citrate
237,9000,25052.69,50,C
238,176,11103.234819296562,58,NKA
239,5017,11103.234819296562,58,for toe nail fungus
240,929,11103.234819296562,58,Levothyr
241,6700,11103.234819296562,58,Nexplanon implant
242,1350,11103.234819296562,58,MEthotrexate
243,1120,11103.234819296562,58,metformin 500 b.i.d
244,100,11103.234819296562,58,Carvedilol
245,1000,11103.234819296562,58,Keppra
246,260,11103.234819296562,58,Keppra 1500 mg PO BID
247,60,428.91,18,80mg Aspirin
248,5000,11103.234819296562,58,Metoprolol XL
249,166,11103.234819296562,58,lorsartan
250,1500,11103.234819296562,58,Oxycodone 5-20 mg every 3 hours PRN pain
251,7840,853.88,22,acetaminophen prn
252,40,11103.234819296562,58,Benadryl prn
253,6,11103.234819296562,58,mirabegron
254,6,11103.234819296562,58,aspirin 81 mg
255,425,1859.79,50,thyroid supplement
256,276,1205.7,50,1 and ½ tabs Qday
257,76,11103.234819296562,58,DIOVAN
258,73,1332.43,2,ZETIA
259,5,12561.4,70,Calciul
260,4995,275.0,70,Sinemet
261,2040,3777.93,2,Pro-Air inhaler
262,26932,30661.5,46,Trazodone
263,1000,8114.11,15,Glucosamine/Chondroitin
264,800,2008.54,50,Levaquin
265,150,4111.71,13,Tresiba 19 units daily
266,140,4318.21,15,Mirtazapine
267,2000,1484.75,22,Rosuvestatin
268,120,11103.234819296562,18,gabapentin
269,20,11103.234819296562,58,AMLODIPINE BESYLATE 10 MG TAB TABLET blood pressure  ATORVASTATIN 80 MG TABLET high cholesterol
270,320,11103.234819296562,58,Senna
271,2000,5962.58,50,12 pm
272,2733,314.0,0,Propylene Glycol Eye Drops
273,100,1845.74,15,Clonazepam .5 as needed
274,45,854.34,70,Xarelto Calcium
275,1000,7682.69,26,Cardura
276,35000,11103.234819296562,13,Prilosec
277,20000,11103.234819296562,13,LAMICTAL
278,416,11103.234819296562,13,victoza
279,486,11103.234819296562,13,breo ellipta
280,906,3850.8,13,Metoprolol Succinate 100 mg/day
281,38780,14364.29,13,levothyroxine 75mcg
282,4632,11103.234819296562,13,ezetimibe
283,166,11103.234819296562,13,nitrofurantoin
284,60784,49824.57,13,Triltellix
285,1000,25124.12,13,eplerenone 25 mg once daily
286,1000,11103.234819296562,22,AMLODIPINE BESYLATE 10 MG TAB TABLET blood pressure  ATORVASTATIN 80 MG TABLET high cholesterol
287,25,1498.02,49,Vitamin A2400 mcg dailoy
288,25000,21150.56,22,birth control pills
289,5408,11103.234819296562,18,norethindrone
290,50,3004.62,49,metropolol 25mg
291,10000,28118.58,21,carvedelol
292,11500,43664.71,21,Clozaril
293,8000,22838.29,21,lavola
294,22500,18045.24,13,ENTYVIO
295,500,11103.234819296562,13,cyanocobalamin
296,800,2514.05,18,Emgality
297,200,2326.1,2,Tr-sprintec
298,10000,27791.62,67,esomeprazole
299,5000,14505.37,67,senior multivitamin
300,150,11103.234819296562,50,ASA 325 mg daily
301,35065,6755.81,13,Xeljanz
302,2220,6524.19,70,Amitriptyline 25 mg q HS
303,140,11103.234819296562,18,81mg Aspirin
304,500,11103.234819296562,38,Baclofen tab 5 mg 3 x day
305,20,11103.234819296562,38,DUPIXENT
306,10,11103.234819296562,38,Vit D No prescriptions
307,4500,38425.29,70,Cilostazol
308,400,2426.05,13,Vitamin c
309,2,11103.234819296562,70,alphagan. Ropressa
310,4,11103.234819296562,70,prenatal vitamns
311,200,11103.234819296562,38,uloric
312,1200,11103.234819296562,38,Escitalopram Oxalate
313,30,11103.234819296562,38,Prystiq
314,3,11103.234819296562,38,and Singulaire
315,546,11103.234819296562,18,women's health supplement
316,9048,20635.3,21,cranberry tablet
317,3000,12770.05,50,ASA
318,3199,8213.59,50,metolazone
319,400,11103.234819296562,38,Creon (pancrelipase)
320,805,11103.234819296562,63,Ambien Supplements: Vit B
321,4200,11103.234819296562,50,atorvastatin 20 mg Tab
322,2000,4113.16,50,& nails
323,70,515.48,50,hydrALAZINE HCl Tablet 50 MG  Give 1 tablet by mouth two times a day for HTN related to ESSENTIAL (PRIMARY) HYPERTENSION (I10) Pravastatin Sodium Tablet 10 MG  Give 1 tablet by mouth at bedtime related to HYPERLIPIDEMIA
324,1116,5303.05,50,Aspirin
325,850,2642.45,50,Renafood
326,20,11103.234819296562,58,Hydro
327,2500,11103.234819296562,58,pravastatin 40mg
328,520,5260.46,13,hctz
329,2576,2789.74,62,Blood pressure medications (Spironolactone
330,2464,2879.96,62,melatonin 10mg prn
331,100,641.04,50,advair diskus
332,100,11103.234819296562,50,Lyrica Capsule 50 MG
333,100,1038.39,50,metFORMIN HCl Tablet 500 MG
334,81,11103.234819296562,60,Modafinil.
335,4,11103.234819296562,58,PREVACID
336,150,11103.234819296562,58,vitamin c supplement
337,1350,11103.234819296562,58,PreserVision AREDS2
338,1123,2873.56,50,Clonazepam
339,9000,34902.96,70,potassium
340,2016,5921.97,46,isorbide monintrate ER 60mg daily
341,1000,11103.234819296562,58,Prenatal vitamins
342,12315,29954.15,21,zafirlukast 20mg
343,50,330.0,18,Microgestin Fe 1.5/30
344,1440,2147.61,22,Dymista
345,4500,11103.234819296562,50,Toprol xl
346,6998,46117.09,61,various OTC supplements
347,60,11103.234819296562,58,vitamin D.
348,130,11103.234819296562,58,Incruse
349,40,11103.234819296562,58,WARFARIN
350,1,11103.234819296562,50,atorvasatin
351,50000,11103.234819296562,31,anastrozole
352,1000,3499.18,12,Norco amlodipine
353,1000,2648.82,50,once a day - Bupropion 150 mg
354,862,25080.52,15,Benadryl every night due to allergies  Allergy shot every other week for allergies (dust mites
355,5900,1727.2,42,& Stool softener
356,5500,12646.15,50,Eye supplements
357,6156,3854.23,13,Benaprezil
358,150,2946.64,50,sulfamethoxazole-t
359,50,378.0,18,Cormax
360,3510,20083.74,61,carvedilol
361,1200,11103.234819296562,58,Xanax .5 mg
362,839,3261.37,70,Elavil
363,5259,22775.45,50,Vitamin E 180 mg - 1 every
364,7,11103.234819296562,36,Vitamin B-12 1000mcg
365,1062,4457.29,70,XeRALTO
366,213,1083.36,50,BARICITINIB
367,336,2525.73,46,Nature Throid
368,300,11103.234819296562,13,Imitrex 100mg PRN migraine
369,386,3936.25,50,fluoxetine 40mg 1 qd
370,80,11103.234819296562,18,propecia
371,1470,2490.67,2,Potassium CL ER 20MEQ Micro - 1 twice daily
372,1000,11103.234819296562,58,omeprazole 20mg
373,3675,11103.234819296562,58,Omneprazoll
374,824,11103.234819296562,58,Darbepoetin Alfa Solution Prefilled Syringe 25 MCG/0.42ML
375,10560,11103.234819296562,58,Prenatal multivitamins
376,10000,11103.234819296562,58,zinc gluconate
377,1560,11103.234819296562,58,pravachol
378,360,4230.75,58,Protein shakes
379,3000,11103.234819296562,58,Claritin. Fish oil
380,1977,11103.234819296562,58,Docusate/Sennosides
381,282,11103.234819296562,58,progesterone. asprin
382,30,11103.234819296562,58,lyrica
383,60,11103.234819296562,58,Eloquis
384,10,11103.234819296562,58,Toprol xl
385,2,11103.234819296562,58,gabapentin 300
386,20,11103.234819296562,58,delayed-release 40 mg as needed.  Supplements and vitamins: B12 5
387,334,11103.234819296562,58,Insulin (Novorapid)
388,3500,11103.234819296562,58,Losartan 25 MG daily
389,2000,11103.234819296562,58,Prempro
390,1400,11103.234819296562,58,insulin lispro 100 unit/mL Soln by closed loop system
391,1800,11103.234819296562,58,BENADRYL
392,800,11103.234819296562,58,VALTREX
393,36,11103.234819296562,58,LEVOTHYROXINE 75MCG
394,20,684.42,49,Rosuvaststin
395,30,11103.234819296562,58,Memantine twice daily
396,7500,17974.65,50,THYROXINE
397,54432,61925.7,46,Vitamin E
398,180,2760.11,50,ezetimibe 10mg
399,2048,11103.234819296562,27,pure Selenium
400,35616,10048.1,22,Triamterene 37.5 MG daily
401,6552,4453.71,46,once per day Lisinopril IC
402,15960,9931.49,13,Clobetasol
403,3500,11103.234819296562,13,Zinc 50mg
404,1,597.43,49,Metformin 500 MG 3times a day
405,120,11103.234819296562,18,Nasal Saline rinse
406,360,11103.234819296562,58,finasteride 5 mg
407,40,11103.234819296562,58,duelra
408,200,11103.234819296562,58,dorzolamide
409,30,11103.234819296562,58,Glut
410,30,11103.234819296562,58,super vitamin B complex
411,300,11103.234819296562,58,k+
412,44,633.73,48,Thurs Melatonin
413,5080,5595.44,13,v-d
414,200,13981.96,30,Vitamin B-complex
415,2000,5714.31,54,STELARA
416,500,17928.53,70,Alleve 220mg PO PRN
417,2500,5157.65,12,Aspirin 81mg
418,400,963.73,67,alphagan. Ropressa
419,125,4702.79,70,flovent inhaler 110 mcg
420,1500,3906.29,12,Olopatadine .1%
421,1500,11103.234819296562,13,lorazepam
422,1000,2923.46,2,SA  500MG
423,300,11103.234819296562,50,asa 81 mg daily
424,1161,11103.234819296562,18,Estrace cream
425,10000,28466.06,67,Montelukast 10mg
426,10000,22856.02,67,Colocrys. . as needed
427,442,11103.234819296562,50,ESTRADIOL
428,250,1711.86,21,Garlic Oil
429,800,11103.234819296562,38,Prestiq
430,800,11103.234819296562,38,Lipitor; metformin
431,2450,11103.234819296562,70,Vitamin D 1000 IU Daily.
432,38784,10500.0,22,Zero
433,2000,5866.31,2,Imitrex PRN
434,800,11103.234819296562,13,Victosia
435,100,11103.234819296562,38,Aspirin 81 MG daily
436,800,11103.234819296562,38,freestyle meter with strips and lancets
437,300,11103.234819296562,38,refresh tears
438,180,910.86,2,Pantoprazole 40MG daily
439,800,11103.234819296562,38,Tevau).
440,4300,8690.26,50,Glucosamine Chondriton
441,476,6924.83,15,lantus
442,3150,15987.05,70,Turmeric
443,1116,4014.57,50,Glucosamine/Chondroitin/MSN (OTC)
444,1062,4717.51,70,Elavil 100mg QHS
445,200,11103.234819296562,50,sertraline 100mg
446,500,11103.234819296562,50,biot
447,142,11103.234819296562,50,Zoloft 200 mg qhs
448,1000,11103.234819296562,58,Hormone replacement
449,408,11103.234819296562,13,Zinc- 50mg
450,10420,7526.06,22,Morning meds:  Synthroid 150 mcg
451,9600,7265.05,22,furosemide
452,1520,4393.32,2,potassium & magnesium supplements
453,800,3449.4,2,Vitamin c
454,30,11103.234819296562,57,Pravastatin 40mg - 1 every day
455,15360,5412.14,22,Advair Diskus
456,2180,5881.57,13,Vitamin D2 1
457,2016,5551.97,13,QUETIAPINE
458,400,2035.66,18,flecinine
459,10080,11103.234819296562,46,A
460,4,11103.234819296562,58,zofran 4mg
461,2059,3684.28,50,Omega3
462,400,11103.234819296562,58,TBD
463,5900,19569.48,70,GARLIC
464,2597,11103.234819296562,18,Lipoic Acid
465,3000,11103.234819296562,50,Fluoxetin 20mg - 1 every day
466,1062,3976.33,70,digoxin
467,5,1225.17,70,Motrin
468,8,559.95,50,Oxybutynin ER 5 mg daily
469,1848,3171.36,13,modere: trim
470,1369,11103.234819296562,19,slow Mag (magnesium)
471,7002,46117.09,61,Heparin Sodium (Porcine) Solution 5000 UNIT/ML
472,7002,44360.44,61,norvasc
473,7002,44347.71,61,Mirena 52mg IUD.
474,7690,23743.01,50,Theophylline
475,18560,16414.22,22,chydrochlorothiaide
476,650,7078.9,70,potassium & magnesium supplements
477,545,11103.234819296562,18,acyclovir (ZOVIRAX) 200 MG capsule Take 1 capsule by mouth 2 times daily. albuterol HFA (PROVENTIL HFA
478,200,11103.234819296562,58,zyrtec 10mg
479,1678,4810.99,70,tegratol
480,10000,4856.14,50,finesteride
481,24963,3451.41,42,Gabapentine 600
482,351,1097.78,50,citracal
483,5200,11103.234819296562,13,omega 3 6 9
484,300,1205.43,67,NAPROXEN
485,80,812.0,50,Alfuzosin
486,10680,12620.12,2,PUREED diet
487,7000,11103.234819296562,58,alendronate
488,983,11103.234819296562,58,doxycycline 100mg tab
489,1325,11103.234819296562,58,vitamin d
490,2880,11103.234819296562,58,levothyroxine 25mcg daily
491,6800,11103.234819296562,58,Vitamin D 1000Units
492,3414,11103.234819296562,58,Citalopram 20mg daily
493,5000,11103.234819296562,58,Slisinop
494,6215,11103.234819296562,58,colon health
495,3000,11103.234819296562,58,C
496,500,11103.234819296562,58,once a day
497,1200,11103.234819296562,58,Tomamax
498,500,11103.234819296562,58,Umeclidinium 62.5 mcg inhaler
499,80,11103.234819296562,58,Novolog Insulin
500,1,11103.234819296562,58,Iron 65mg-325 mg ferrous sulf
501,500,1521.4,58,oxybutynin XL
502,300,11103.234819296562,58,Skin & Nail vitamin
503,80,11103.234819296562,58,Baby Aspirin
504,28,11103.234819296562,58,Wellbuterin
505,30,11103.234819296562,58,calcium acetate
506,108,11103.234819296562,58,some other vitamins and supplements.
507,9620,11103.234819296562,58,and Benadryl and ice packs
508,20,1119.99,49,Chlorthalidone
509,250,11103.234819296562,58,Cranberry tablet
510,100,11103.234819296562,58,Vitamin D3-4000IU
511,400,11103.234819296562,58,Amlodipine 5 mg daily
512,28034,19023.36,28,Chlorphenamine 4mg
513,2000,17170.07,44,Aimovig 70 mg injection (for migraines)
514,476,9471.52,15,Zyrtec 25 mg
515,18,2199.43,15,chondroitin 1200mg
516,6760,17643.81,70,hypoxia
517,820,3310.89,30,progesterone 200
518,30,11103.234819296562,58,Ergocalciferol
519,200,11103.234819296562,58,Apple Cider Gummies
520,4,133.25,50,vitamin c 1000mg daily
521,20,11103.234819296562,2,Amlodipine Omeprazole
522,31,515.32,67,no other meds reported
523,19,859.53,56,Intellence
524,198,7286.16,2,Vitamin D3 125mcg Vitamin A 2
525,416,11103.234819296562,13,Escitalopram 20 mg daily
526,16683,20257.08,13,HCTZ 25mg
527,9321,11103.234819296562,13,Mecobalamin
528,602,569.52,13,once a day - Bupropion 150 mg
529,6349,2623.49,64,Keflex
530,33333,11103.234819296562,13,levothyroxine 112mcg
531,98400,27923.26,64,Allopurinol (300mg)
532,1700,14982.1,13,Cosopt eye drops twice nailing
533,700,11103.234819296562,13,glyburide 2.5 mg
534,38300,11103.234819296562,13,clarithromycin
535,1320,13453.12,2,vitamin D & DHA.
536,230,801.54,12,Lecithin
537,40,713.58,70,Escitalopram
538,8,11103.234819296562,49,Enalapril HCTZ 10 - 25 mg
539,54,11103.234819296562,18,Fiber Lax tablets twice daily
540,700,3114.08,70,multivitamins
541,1000,5240.47,70,Black Elderberry Extract
542,1500,8576.8,70,40 mg
543,300,1398.6,50,Skin & Nails chewable
544,1577,11103.234819296562,18,Iron 65mg-325 mg ferrous sulf
545,450,11103.234819296562,50,hydrochlorothiazine
546,300,240.0,50,Janumet
547,2000,7961.7,67,Vitamin d2
548,1400,3616.95,54,hydochlorothiazide
549,600,11103.234819296562,38,Milrinone
550,3,11103.234819296562,38,lisinopril 10 mg  daily
551,400,11103.234819296562,38,Lovastatin 10 mg
552,100,11103.234819296562,38,Propranolol 120 mg
553,1000,3120.92,2,lumigan
554,1500,9479.89,50,Weed
555,600,11103.234819296562,13,( such as having an issue with my asthma)
556,2,897.52,70,Aspirin 81mg daily
557,200,11103.234819296562,38,Risperidone
558,450,1625.08,70,VASCEPA
559,7301,16036.94,21,Oxycodone 5-20 mg every 3 hours PRN pain
560,1436,11103.234819296562,50,Triltellix
561,1436,6687.51,50,lantanoprost
562,2000,11103.234819296562,50,5000mcg Biotin
563,659,2358.13,67,Adderall 90 mg QD
564,7,587.63,49,Loperamide
565,200,1028.18,50,and 80mg
566,285,11103.234819296562,50,Take 1 Tablet by
567,850,360.0,50,carvedilol 12.5 mg bid
568,1275,4193.88,21,amlodipine besylate
569,85,1253.98,70,PROBIOTICS
570,331,7915.98,15,Tamsulin
571,1000,11103.234819296562,58,Docusate sodium
572,3000,11103.234819296562,58,lisinopril 10 mg  daily
573,200,11103.234819296562,58,Rosuvastatin 40 mg
574,20,11103.234819296562,58,20 mg Zyrtec qd
575,500,5217.59,13,sertraline.
576,2016,2864.44,46,Aspirin 81 mg enteric-coated q a.m.     Plavix 75 mg po at bedtime     Iron
577,250,1796.68,50,fursemide 40mg BID
578,100,11103.234819296562,58,Toprol 50mg
579,100,11103.234819296562,50,LoLoestrin
580,3024,10356.86,13,ursadiol
581,1040,2519.89,2,Ezetimibe
582,9576,7884.8,46,multiple
583,8,11103.234819296562,58,Propranolol
584,4,11103.234819296562,58,aggrenox
585,30,11103.234819296562,58,Merformin 1000mg
586,6,11103.234819296562,58,Azopt
587,121,1372.85,70,(as Theracal)
