,ID,Project Code,PQ #,PO / SO #,ASN/DN #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,PQ First Sent to Client Date,PO Sent to Vendor Date,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD),Suggest count
10,60,110-ZM-T01,Pre-PQ Process,SCMS-221,ASN-223,Zambia,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,12/1/06,16-Feb-07,16-Feb-07,16-Feb-07,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Birth Control,Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,2800,115080.0,41.1,0.34,ABBVIE Ludwigshafen Germany,Yes,643,Freight Included in Commodity Cost,,232
11,61,110-ZM-T01,Pre-PQ Process,SCMS-226,ASN-137,Zambia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,8-Jan-07,8-Jan-07,8-Jan-07,HRDT,HIV test,"Trinity Biotech, Plc",lisino,"HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,,Test kit,20,2500,100000.0,40.0,2.0,"Trinity Biotech, Plc",Yes,853,13569.49,,758
12,62,102-NG-T01,Pre-PQ Process,SCMS-230,ASN-144,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,10-Jan-07,10-Jan-07,10-Jan-07,HRDT,HIV test,EY Laboratories,Diltiazem ER,"HIV 1/2, InstantChek HIV 1+2 Kit",InstantCHEK,,Test kit,100,10,850.0,85.0,0.85,"EY Laboratories, USA",Yes,3424.441305712492,Invoiced Separately,,775
13,64,107-RW-T01,Pre-PQ Process,SCMS-268,ASN-242,Rwanda,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,12/22/06,27-Feb-07,27-Feb-07,27-Feb-07,ARV,Adult,CIPLA LIMITED,not an adverse reaction),Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,10000,99800.0,9.98,0.17,"Cipla, Goa, India",Yes,7416,64179.42,,95
14,65,106-HT-T01,Pre-PQ Process,SCMS-274,ASN-162,Haiti,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,18-Jan-07,18-Jan-07,18-Jan-07,HRDT,HIV test,Abbott GmbH & Co. KG,clobazam,"HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,750,60000.0,80.0,0.8,ABBVIE GmbH & Co.KG Wiesbaden,Yes,256,1760.32,,697
15,68,113-ZW-T01,Pre-PQ Process,SCMS-308,ASN-285,Zimbabwe,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,1/10/07,19-Mar-07,19-Mar-07,19-Mar-07,ARV,Pediatric,BRISTOL-MYERS SQUIBB,Do not have info on OTC or Dietary supplements,Didanosine,Videx,200mg,Tablet,60,579,14764.5,25.5,0.42,"BMS Meymac, France",Yes,3424.441305712492,Freight Included in Commodity Cost,,858
16,69,102-NG-T01,Pre-PQ Process,SCMS-354,ASN-608,Nigeria,PMO - US,Direct Drop,CIP,,Pre-PQ Process,Date Not Captured,7-May-07,7-May-07,7-May-07,HRDT,HIV test,ACCOUN NIGERIA LIMITED,000 daily PO 5) Tylenol 650mg every 4 hrs prn 6) Advil 800mg every 8-12 hours prn,"HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,1500,120000.0,80.0,0.8,ABBVIE GmbH & Co.KG Wiesbaden,Yes,3424.441305712492,Freight Included in Commodity Cost,192.0,662
17,80,107-RW-T01,Pre-PQ Process,SCMS-488,ASN-299,Rwanda,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,29-Mar-07,29-Mar-07,29-Mar-07,HRDT,HIV test,Premier Medical Corporation Ltd.,baby aspirin vitamin D,"HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit",First Response,,Test kit,30,2000,33000.0,16.5,0.55,Premier Med. Corp Ltd. India,Yes,710,3120.7,,381
18,87,109-TZ-T01,Pre-PQ Process,SCMS-555,ASN-409,Tanzania,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,4/12/07,6-Jun-07,6-Jun-07,6-Jun-07,ARV,Pediatric,BRISTOL-MYERS SQUIBB,Fentanyl Transdermal,Didanosine,Videx,2g,Powder for oral solution,200,712,8964.08,12.59,0.06,"BMS Meymac, France",Yes,162,912.96,,74
19,92,102-NG-T01,Pre-PQ Process,SCMS-592,ASN-485,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,5/13/07,19-Jun-07,19-Jun-07,19-Jun-07,HRDT,HIV test,Abbott GmbH & Co. KG,pindolol,"HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,1000,80000.0,80.0,0.8,ABBVIE GmbH & Co.KG Wiesbaden,Yes,341,2682.47,128.0,126
20,96,102-NG-T01,Pre-PQ Process,SCMS-570,ASN-451,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,5/17/07,19-Jun-07,19-Jun-07,19-Jun-07,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Levothyroxine 100 mg 1vx daily,"HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,,Test kit,20,7500,202500.0,27.0,1.35,Chembio Diagnostics Sys. Inc.,Yes,2278,15893.71,,677
21,108,104-CI-T01,Pre-PQ Process,SCMS-698,ASN-727,Côte d'Ivoire,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,7/13/07,2-Oct-07,2-Oct-07,2-Oct-07,ARV,Pediatric,BRISTOL-MYERS SQUIBB,duelra,Didanosine,Videx,200mg,Tablet,60,5513,140581.5,25.5,0.42,"BMS Meymac, France",Yes,2126,Freight Included in Commodity Cost,224.93,458
22,115,108-VN-T01,Pre-PQ Process,SCMS-753,ASN-781,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/4/07,15-Oct-07,15-Oct-07,15-Oct-07,ARV,Pediatric,Aurobindo Pharma Limited,Spironolactone 50mg BID,Nevirapine,Generic,10mg/ml,Oral suspension,240,1000,1920.0,1.92,0.01,"Aurobindo Unit III, India",Yes,941,4193.49,3.07,524
23,116,108-VN-T01,Pre-PQ Process,SCMS-759,ASN-632,Vietnam,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,7/4/07,27-Aug-07,27-Aug-07,27-Aug-07,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),mild high blood pressure medication.  Amitrptaline,Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,500,41095.0,82.19,0.68,ABBVIE Ludwigshafen Germany,Yes,117,1767.38,65.75,510
24,130,100-HT-T01,Pre-PQ Process,SCMS-10080,ASN-628,Haiti,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/26/07,13-Aug-07,21-Aug-07,21-Aug-07,HRDT,HIV test,"Orgenics, Ltd",Montelukast 10 MG daily,"HIV 1/2, Determine HIV Kit, without Lancets",Determine,,Test kit,100,750,53992.5,71.99,0.72,Inverness Japan,Yes,171,3518.38,86.39,698
25,134,100-HT-T01,Pre-PQ Process,SCMS-10130,ASN-616,Haiti,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/26/07,25-Aug-07,25-Aug-07,25-Aug-07,HRDT,HIV test,Orasure Technologies Inc.,levetiracetam,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit",OraQuick,,Test kit,100,25,8750.0,350.0,3.5,"Pacific Biotech, Thailand",Yes,60,3097.85,14.0,443
26,138,109-TZ-T01,Pre-PQ Process,SCMS-10270,ASN-710,Tanzania,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,16-Oct-07,16-Oct-07,16-Oct-07,HRDT,HIV test,"Standard Diagnostics, Inc.",estimated due date august 22,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,,Test kit,25,10000,200000.0,20.0,0.8,"Standard Diagnostics, Korea",Yes,3335,27869.74,320.0,952
27,139,109-TZ-T01,Pre-PQ Process,SCMS-10290,ASN-788,Tanzania,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,22-Nov-07,22-Nov-07,22-Nov-07,HRDT,HIV test,"Standard Diagnostics, Inc.",saline nas,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,,Test kit,25,10000,200000.0,20.0,0.8,"Standard Diagnostics, Korea",Yes,3335,28461.1,320.0,148
28,140,109-TZ-T01,Pre-PQ Process,SCMS-10300,ASN-856,Tanzania,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,22-Nov-07,22-Nov-07,22-Nov-07,HRDT,HIV test,"Standard Diagnostics, Inc.",Flomax,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,,Test kit,25,10000,200000.0,20.0,0.8,"Standard Diagnostics, Korea",Yes,3335,28359.8,320.0,227
29,161,117-ET-T01,Pre-PQ Process,SCMS-11070,ASN-916,Ethiopia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,10/3/07,20-Nov-07,20-Nov-07,20-Nov-07,ARV,Adult,Aurobindo Pharma Limited,Sertraline Hci 25mg,Stavudine,Generic,30mg,Capsule,60,64000,99200.0,1.55,0.03,"Aurobindo Unit III, India",Yes,4228,12237.61,158.72,689
30,176,102-NG-T01,Pre-PQ Process,SCMS-11750,ASN-745,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,8/28/07,3-Oct-07,3-Oct-07,3-Oct-07,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",cinacalcet,"HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,,Test kit,20,10000,270000.0,27.0,1.35,Chembio Diagnostics Sys. Inc.,Yes,3263,20885.78,432.0,55
31,262,116-ZA-T01,Pre-PQ Process,SCMS-14050,ASN-1251,South Africa,PMO - US,Direct Drop,DDP,,Pre-PQ Process,11/12/07,29-Jan-08,29-Jan-08,29-Jan-08,ARV,Pediatric,"JSI R&T INSTITUTE, INC.",Turmeric tincture,Zidovudine,Retrovir,10mg/ml,Oral solution,200,40,317.6,7.94,0.04,GSK Mississauga (Canada),Yes,3424.441305712492,Freight Included in Commodity Cost,0.51,809
32,269,108-VN-T01,Pre-PQ Process,SCMS-14190,ASN-1192,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,11/19/07,21-Jan-08,21-Jan-08,21-Jan-08,ARV,Adult,"GILEAD SCIENCES IRELAND, INC.",lisinopriL,Tenofovir Disoproxil Fumarate,Viread,300mg,Tablet,30,1000,17000.0,17.0,0.57,Gilead(Nycomed) Oranienburg DE,Yes,76,2282.57,27.2,415
33,270,108-VN-T01,Pre-PQ Process,SCMS-14200,ASN-1171,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,11/21/07,21-Jan-08,21-Jan-08,21-Jan-08,ARV,Adult,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),Chlothalidne,Zidovudine,Generic,300mg,Tablet,60,400,3352.0,8.38,0.14,"Ranbaxy, Paonta Shahib, India",Yes,23,2149.05,5.36,481
34,284,107-RW-T01,Pre-PQ Process,SCMS-14630,ASN-1253,Rwanda,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,12/10/07,31-Jan-08,31-Jan-08,31-Jan-08,HRDT,HIV test - Ancillary,"Orgenics, Ltd",Amlodipine Omeprazole,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,,Test kit - Ancillary,100,1500,15.0,0.01,0.0,Inverness Japan,Yes,99,0.75,0.02,828
35,305,123-NG-T01,Pre-PQ Process,SCMS-15550,ASN-1269,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,5-Feb-08,5-Feb-08,5-Feb-08,HRDT,HIV test - Ancillary,"Orgenics, Ltd",ranitidine,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,,Test kit - Ancillary,100,650,6.5,0.01,0.0,Inverness Japan,Yes,3424.441305712492,Invoiced Separately,0.01,598
36,343,116-ZA-T01,Pre-PQ Process,SCMS-16600,ASN-1520,South Africa,PMO - US,Direct Drop,DDP,,Pre-PQ Process,1/4/08,21-Jan-08,4-Jan-08,4-Jan-08,ARV,Pediatric,"JSI R&T INSTITUTE, INC.",p.m. Alprazolam    0.25mg     1 x night Valacyclovir    1g    3x day for 7 days for flare-ups Amitriptyline    10mg    2x day  Elmiron     100mg    3x day Tamsulosin    0.4 mg    1x day Myrbetriq,Stavudine,Zerit,1mg/ml,Powder for oral solution,200,200,340.0,1.7,0.01,"BMS Meymac, France",Yes,3424.441305712492,Freight Included in Commodity Cost,0.54,669
37,361,125-HT-T01,Pre-PQ Process,SCMS-14080,ASN-1318,Haiti,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,18-Feb-08,18-Feb-08,18-Feb-08,HRDT,HIV test,"Trinity Biotech, Plc",digoxin,"HIV 1/2, Capillus HIV Kit",Capillus,,Test kit,100,2,278.0,139.0,1.39,"Trinity Biotech, Plc",Yes,3424.441305712492,Invoiced Separately,0.44,297
38,391,104-CI-T01,Pre-PQ Process,SCMS-18290,ASN-1879,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/27/08,17-Jun-08,17-Jun-08,17-Jun-08,HRDT,HIV test,BIO-RAD LABORATORIES (FRANCE),ipratropium,"HIV, Genie II HIV-1/HIV-2 Kit",Genie,,Test kit,40,476,36176.0,76.0,1.9,Bio-Rad Laboratories,Yes,509,5446.51,57.88,762
39,392,104-CI-T01,Pre-PQ Process,SCMS-18310,ASN-3435,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,3/3/08,19-Mar-09,19-Mar-09,19-Mar-09,HRDT,HIV test,"Standard Diagnostics, Inc.",soul-medrol and Benadryl via IV.,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,,Test kit,25,659,13180.0,20.0,0.8,"Standard Diagnostics, Korea",Yes,206,2656.12,25.83,485
40,398,102-GY-T01,Pre-PQ Process,SCMS-18480,ASN-1502,Guyana,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/28/08,9-Apr-08,1-Apr-08,1-Apr-08,HRDT,HIV test - Ancillary,"Orgenics, Ltd",once per day Atorvastatin,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,,Test kit - Ancillary,100,240,2.4,0.01,0.0,Inverness Japan,Yes,3424.441305712492,Invoiced Separately,0.0,497
41,399,102-GY-T01,Pre-PQ Process,SCMS-18500,ASN-2117,Guyana,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/28/08,28-Jul-08,28-Jul-08,28-Jul-08,HRDT,HIV test - Ancillary,"Orgenics, Ltd",finasteride 5 mg,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,,Test kit - Ancillary,100,213,2.13,0.01,0.0,Inverness Japan,Yes,14,360,0.0,813
42,400,117-ET-T01,Pre-PQ Process,SCMS-18430,ASN-1465,Ethiopia,PMO - US,Direct Drop,DDP,,Pre-PQ Process,2/29/08,11-Mar-08,11-Mar-08,11-Mar-08,HRDT,HIV test,TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,MESALAZINE,"HIV 1/2, Capillus HIV Kit",Capillus,,Test kit,100,63,13399.25,212.69,2.13,"Trinity Biotech, Plc",Yes,3424.441305712492,Freight Included in Commodity Cost,21.44,326
43,410,113-ZW-T01,Pre-PQ Process,SCMS-18870,ASN-2434,Zimbabwe,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,3/17/08,17-Nov-08,17-Nov-08,17-Nov-08,HRDT,HIV test,"Orgenics, Ltd",women's health supplement,"HIV 1/2, Determine HIV Kit, without Lancets",Determine,,Test kit,100,1634,117631.66,71.99,0.72,Inverness Japan,Yes,373,4112.46,188.21,245
44,411,123-NG-T01,Pre-PQ Process,SCMS-18940,ASN-1467,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,3/13/08,17-Apr-08,17-Apr-08,17-Apr-08,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Miralax,"HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,,Test kit,20,1425,38475.0,27.0,1.35,Chembio Diagnostics Sys. Inc.,Yes,483,5468.88,61.56,548
45,414,119-NA-T01,Pre-PQ Process,SCMS-19130,ASN-1798,Namibia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,3/18/08,4-Jun-08,4-Jun-08,4-Jun-08,HRDT,HIV test,"Orgenics, Ltd",Vitamin,"HIV 1/2, Determine HIV Kit, without Lancets",Determine,,Test kit,100,142,10222.58,71.99,0.72,Inverness Japan,Yes,33,1715.17,16.36,971
46,420,108-VN-T01,Pre-PQ Process,SCMS-19490,ASN-1753,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,3/31/08,3-Jun-08,3-Jun-08,3-Jun-08,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),albuterol HFA 90 mcg/actuation inhaler Prn amitriptyline 75 mg tablet Po daily Amphetamine-Dextroamphetamine 30 mg tablet  buPROPion XL 300 mg 24 hr tablet  Cholecalciferol (Vitamin D3) 50 mcg (2,Efavirenz,Generic,600mg,Tablet,30,8400,96432.0,11.48,0.38,Mylan (formerly Matrix) Nashik,Yes,654,4051.34,154.29,678
47,422,116-ZA-T01,Pre-PQ Process,SCMS-19800,ASN-1665,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,2/20/08,24-Apr-08,24-Apr-08,24-Apr-08,ARV,Adult,S. BUYS WHOLESALER,Metoprolol 25mg,Saquinavir,Invirase,200mg,Capsule,270,6,405.06,67.51,0.25,Roche Basel,Yes,3424.441305712492,Freight Included in Commodity Cost,0.65,789
48,423,116-ZA-T01,Pre-PQ Process,SCMS-19800,ASN-1665,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,2/20/08,24-Apr-08,24-Apr-08,24-Apr-08,ARV,Pediatric,S. BUYS WHOLESALER,Losartan-HCTZ,Stavudine,Zerit,1mg/ml,Powder for oral solution,200,600,870.0,1.45,0.01,"BMS Meymac, France",No,3424.441305712492,Freight Included in Commodity Cost,1.39,310
49,438,108-VN-T01,Pre-PQ Process,SCMS-20310,ASN-1923,Vietnam,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,3/31/08,12-Jul-08,12-Jul-08,12-Jul-08,ARV,Pediatric,BRISTOL-MYERS SQUIBB,Enteric ASA,Didanosine,Videx,25mg,Chewable/dispersible tablet,60,400,2800.0,7.0,0.12,"BMS Meymac, France",Yes,81,2211.05,4.48,17
50,459,116-ZA-T01,Pre-PQ Process,SCMS-21460,ASN-1667,South Africa,PMO - US,Direct Drop,DDP,,Pre-PQ Process,4/4/08,25-Apr-08,7-Apr-08,7-Apr-08,ARV,Pediatric,S. BUYS WHOLESALER,metoprolol 25,Didanosine,Videx,25mg,Chewable/dispersible tablet,60,6,77.1,12.85,0.21,"BMS Meymac, France",Yes,3424.441305712492,Freight Included in Commodity Cost,0.12,604
51,464,102-NG-T01,Pre-PQ Process,SCMS-21540,ASN-2008,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,9-Jul-08,9-Jul-08,9-Jul-08,HRDT,HIV test,"Orgenics, Ltd",B-Complex,"HIV 1/2, Determine HIV Kit, without Lancets",Determine,,Test kit,100,5498,439785.02,79.99,0.8,Inverness Japan,Yes,1251,16090.22,703.66,715
52,465,102-NG-T01,Pre-PQ Process,SCMS-21540,ASN-2011,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,9-Jul-08,4-Jul-08,4-Jul-08,HRDT,HIV test - Ancillary,"Orgenics, Ltd",ometrosval,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,,Test kit - Ancillary,100,5498,54.98,0.01,0.0,Inverness Japan,Yes,3424.441305712492,Invoiced Separately,0.09,956
53,466,117-ET-T01,Pre-PQ Process,SCMS-21550,ASN-1741,Ethiopia,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,Date Not Captured,9-May-08,9-May-08,9-May-08,HRDT,HIV test,TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,Vitamin D with Calcium,"HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,,Test kit,20,15,691.42,46.09,2.3,"Trinity Biotech, Plc",Yes,3424.441305712492,Freight Included in Commodity Cost,1.11,329
54,530,108-VN-T01,Pre-PQ Process,SCMS-23450,ASN-2336,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,5/14/08,19-Sep-08,19-Sep-08,19-Sep-08,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Furosemide 20 mg,Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,1344,18359.04,13.66,0.46,Mylan (formerly Matrix) Nashik,Yes,1537,13507.92,29.37,83
55,531,116-ZA-T01,Pre-PQ Process,SCMS-23500,ASN-2783,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,Date Not Captured,20-Aug-08,20-Aug-08,20-Aug-08,ARV,Adult,S. BUYS WHOLESALER,Benadryl 50mg PO QHS PRN,Stavudine,Zerit,20mg,Capsule,60,20,103.4,5.17,0.09,"BMS Meymac, France",Yes,3424.441305712492,Freight Included in Commodity Cost,0.2,536
56,532,116-ZA-T01,Pre-PQ Process,SCMS-23500,ASN-2293,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,Date Not Captured,20-Aug-08,8-May-08,8-May-08,ARV,Adult,S. BUYS WHOLESALER,Isosorbide mononitrate,Didanosine EC,Videx EC,250mg,Delayed-release capsules - blister,30,100,1906.0,19.06,0.64,"BMS Meymac, France",Yes,3424.441305712492,Freight Included in Commodity Cost,3.05,824
57,533,116-ZA-T01,Pre-PQ Process,SCMS-23500,ASN-2293,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,Date Not Captured,20-Aug-08,8-May-08,8-May-08,ARV,Pediatric,S. BUYS WHOLESALER,omeprazole Gabapentin,Stavudine,Zerit,1mg/ml,Powder for oral solution,200,670,1025.1,1.53,0.01,"BMS Meymac, France",No,3424.441305712492,Freight Included in Commodity Cost,1.64,662
