,ID,Project Code,PQ #,PO / SO #,ASN/DN #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,PQ First Sent to Client Date,PO Sent to Vendor Date,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD),Suggest count,Delivery Time,Shipment Cost,lat,long,db_cluster,Supply score
12,62,102-NG-T01,Pre-PQ Process,SCMS-230,ASN-144,Nigeria,PMO - US,Direct Drop,EXW,0,Pre-PQ Process,2006-05-02,2007-01-10,10-Jan-07,10-Jan-07,HRDT,HIV test,25,Diltiazem ER,"HIV 1/2, InstantChek HIV 1+2 Kit",InstantCHEK,,Test kit,100,10,850.0,85.0,0.85,"EY Laboratories, USA",Yes,3424.441305712492,11103.234819296562,,775,253,0.3242349285057001,24.25216005110323,62.08901659224073,0,11128.559054225068
13,64,107-RW-T01,Pre-PQ Process,SCMS-268,ASN-242,Rwanda,PMO - US,Direct Drop,EXW,0,Pre-PQ Process,12/22/06,2007-02-27,27-Feb-07,27-Feb-07,ARV,Adult,22,not an adverse reaction),Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,10000,99800.0,9.98,0.17,"Cipla, Goa, India",Yes,7416,64179.42,,95,67,0.000865418284789644,24.25216005110323,62.08901659224073,0,64201.42086541828
14,65,106-HT-T01,Pre-PQ Process,SCMS-274,ASN-162,Haiti,PMO - US,Direct Drop,EXW,0,Pre-PQ Process,2006-05-02,2007-01-18,18-Jan-07,18-Jan-07,HRDT,HIV test,12,clobazam,"HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,750,60000.0,80.0,0.8,ABBVIE GmbH & Co.KG Wiesbaden,Yes,256,1760.32,,697,261,0.009168333333333332,24.25216005110323,62.08901659224073,0,1772.3291683333332
15,68,113-ZW-T01,Pre-PQ Process,SCMS-308,ASN-285,Zimbabwe,PMO - US,Direct Drop,CIP,0,Pre-PQ Process,1/10/07,2007-03-19,19-Mar-07,19-Mar-07,ARV,Pediatric,18,Do not have info on OTC or Dietary supplements,Didanosine,Videx,200mg,Tablet,60,579,14764.5,25.5,0.42,"BMS Meymac, France",Yes,3424.441305712492,11103.234819296562,,858,68,0.005599912409424873,24.25216005110323,62.08901659224073,0,11121.24041920897
16,69,102-NG-T01,Pre-PQ Process,SCMS-354,ASN-608,Nigeria,PMO - US,Direct Drop,CIP,4,Pre-PQ Process,2006-05-02,2007-05-07,7-May-07,7-May-07,HRDT,HIV test,5,000 daily PO 5) Tylenol 650mg every 4 hrs prn 6) Advil 800mg every 8-12 hours prn,"HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,1500,120000.0,80.0,0.8,ABBVIE GmbH & Co.KG Wiesbaden,Yes,3424.441305712492,11103.234819296562,192.0,662,370,0.0021615661900380007,24.25216005110323,62.08901659224073,0,11112.236980862752
17,80,107-RW-T01,Pre-PQ Process,SCMS-488,ASN-299,Rwanda,PMO - US,Direct Drop,EXW,0,Pre-PQ Process,2006-05-02,2007-03-29,29-Mar-07,29-Mar-07,HRDT,HIV test,54,baby aspirin vitamin D,"HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit",First Response,,Test kit,30,2000,33000.0,16.5,0.55,Premier Med. Corp Ltd. India,Yes,710,3120.7,,381,331,0.002197676056338028,24.25216005110323,62.08901659224073,0,3174.702197676056
18,87,109-TZ-T01,Pre-PQ Process,SCMS-555,ASN-409,Tanzania,PMO - US,Direct Drop,CIP,0,Pre-PQ Process,4/12/07,2007-06-06,6-Jun-07,6-Jun-07,ARV,Pediatric,18,Fentanyl Transdermal,Didanosine,Videx,2g,Powder for oral solution,200,712,8964.08,12.59,0.06,"BMS Meymac, France",Yes,162,912.96,,74,55,0.00791510611735331,24.25216005110323,62.08901659224073,0,930.9679151061174
19,92,102-NG-T01,Pre-PQ Process,SCMS-592,ASN-485,Nigeria,PMO - US,Direct Drop,EXW,0,Pre-PQ Process,5/13/07,2007-06-19,19-Jun-07,19-Jun-07,HRDT,HIV test,12,pindolol,"HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,1000,80000.0,80.0,0.8,ABBVIE GmbH & Co.KG Wiesbaden,Yes,341,2682.47,128.0,126,37,0.007866480938416421,24.25216005110323,62.08901659224073,0,2694.4778664809382
20,96,102-NG-T01,Pre-PQ Process,SCMS-570,ASN-451,Nigeria,PMO - US,Direct Drop,EXW,0,Pre-PQ Process,5/17/07,2007-06-19,19-Jun-07,19-Jun-07,HRDT,HIV test,21,Levothyroxine 100 mg 1vx daily,"HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,,Test kit,20,7500,202500.0,27.0,1.35,Chembio Diagnostics Sys. Inc.,Yes,2278,15893.71,,677,33,0.0009302727538776705,24.25216005110323,62.08901659224073,0,15914.710930272753
21,108,104-CI-T01,Pre-PQ Process,SCMS-698,ASN-727,Côte d'Ivoire,PMO - US,Direct Drop,CIP,0,Pre-PQ Process,7/13/07,2007-10-02,2-Oct-07,2-Oct-07,ARV,Pediatric,18,duelra,Didanosine,Videx,200mg,Tablet,60,5513,140581.5,25.5,0.42,"BMS Meymac, France",Yes,2126,11103.234819296562,224.93,458,81,0.0009473234152694215,24.25216005110323,62.08901659224073,0,11121.235766619977
22,115,108-VN-T01,Pre-PQ Process,SCMS-753,ASN-781,Vietnam,PMO - US,Direct Drop,EXW,0,Pre-PQ Process,7/4/07,2007-10-15,15-Oct-07,15-Oct-07,ARV,Pediatric,13,Spironolactone 50mg BID,Nevirapine,Generic,10mg/ml,Oral suspension,240,1000,1920.0,1.92,0.01,"Aurobindo Unit III, India",Yes,941,4193.49,3.07,524,103,0.004456418703506907,17.46605305,78.38315469438473,1,4207.4944564187035
23,116,108-VN-T01,Pre-PQ Process,SCMS-759,ASN-632,Vietnam,PMO - US,Direct Drop,FCA,0,Pre-PQ Process,7/4/07,2007-08-27,27-Aug-07,27-Aug-07,ARV,Adult,2,mild high blood pressure medication.  Amitrptaline,Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,500,41095.0,82.19,0.68,ABBVIE Ludwigshafen Germany,Yes,117,1767.38,65.75,510,54,0.030211623931623934,49.47470885,8.437682841085376,2,1771.4102116239317
24,130,100-HT-T01,Pre-PQ Process,SCMS-10080,ASN-628,Haiti,PMO - US,Direct Drop,EXW,0,Pre-PQ Process,7/26/07,2007-08-13,21-Aug-07,21-Aug-07,HRDT,HIV test,50,Montelukast 10 MG daily,"HIV 1/2, Determine HIV Kit, without Lancets",Determine,,Test kit,100,750,53992.5,71.99,0.72,Inverness Japan,Yes,171,3518.38,86.39,698,18,0.027433762183235868,57.4797553,-4.223209,3,3571.4074337621832
25,134,100-HT-T01,Pre-PQ Process,SCMS-10130,ASN-616,Haiti,PMO - US,Direct Drop,EXW,0,Pre-PQ Process,7/26/07,2007-08-25,25-Aug-07,25-Aug-07,HRDT,HIV test,49,levetiracetam,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit",OraQuick,,Test kit,100,25,8750.0,350.0,3.5,"Pacific Biotech, Thailand",Yes,60,3097.85,14.0,443,30,2.0652333333333335,24.25216005110323,62.08901659224073,0,3148.915233333333
26,138,109-TZ-T01,Pre-PQ Process,SCMS-10270,ASN-710,Tanzania,PMO - US,Direct Drop,EXW,0,Pre-PQ Process,2006-05-02,2007-10-16,16-Oct-07,16-Oct-07,HRDT,HIV test,67,estimated due date august 22,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,,Test kit,25,10000,200000.0,20.0,0.8,"Standard Diagnostics, Korea",Yes,3335,27869.74,320.0,952,532,0.0008356743628185907,24.25216005110323,62.08901659224073,0,27936.740835674365
27,139,109-TZ-T01,Pre-PQ Process,SCMS-10290,ASN-788,Tanzania,PMO - US,Direct Drop,EXW,0,Pre-PQ Process,2006-05-02,2007-11-22,22-Nov-07,22-Nov-07,HRDT,HIV test,67,saline nas,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,,Test kit,25,10000,200000.0,20.0,0.8,"Standard Diagnostics, Korea",Yes,3335,28461.1,320.0,148,569,0.0008534062968515742,24.25216005110323,62.08901659224073,0,28528.100853406297
28,140,109-TZ-T01,Pre-PQ Process,SCMS-10300,ASN-856,Tanzania,PMO - US,Direct Drop,EXW,0,Pre-PQ Process,2006-05-02,2007-11-22,22-Nov-07,22-Nov-07,HRDT,HIV test,67,Flomax,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,,Test kit,25,10000,200000.0,20.0,0.8,"Standard Diagnostics, Korea",Yes,3335,28359.8,320.0,227,569,0.0008503688155922039,24.25216005110323,62.08901659224073,0,28426.800850368814
29,161,117-ET-T01,Pre-PQ Process,SCMS-11070,ASN-916,Ethiopia,PMO - US,Direct Drop,EXW,0,Pre-PQ Process,10/3/07,2007-11-20,20-Nov-07,20-Nov-07,ARV,Adult,13,Sertraline Hci 25mg,Stavudine,Generic,30mg,Capsule,60,64000,99200.0,1.55,0.03,"Aurobindo Unit III, India",Yes,4228,12237.61,158.72,689,48,4.52253207781457e-05,17.46605305,78.38315469438473,1,12251.610045225321
30,176,102-NG-T01,Pre-PQ Process,SCMS-11750,ASN-745,Nigeria,PMO - US,Direct Drop,EXW,0,Pre-PQ Process,8/28/07,2007-10-03,3-Oct-07,3-Oct-07,HRDT,HIV test,21,cinacalcet,"HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,,Test kit,20,10000,270000.0,27.0,1.35,Chembio Diagnostics Sys. Inc.,Yes,3263,20885.78,432.0,55,36,0.0006400790683420165,24.25216005110323,62.08901659224073,0,20906.78064007907
31,262,116-ZA-T01,Pre-PQ Process,SCMS-14050,ASN-1251,South Africa,PMO - US,Direct Drop,DDP,4,Pre-PQ Process,11/12/07,2008-01-29,29-Jan-08,29-Jan-08,ARV,Pediatric,38,Turmeric tincture,Zidovudine,Retrovir,10mg/ml,Oral solution,200,40,317.6,7.94,0.04,GSK Mississauga (Canada),Yes,3424.441305712492,11103.234819296562,0.51,809,78,0.08105873212642503,24.25216005110323,62.08901659224073,0,11145.315878028689
32,269,108-VN-T01,Pre-PQ Process,SCMS-14190,ASN-1192,Vietnam,PMO - US,Direct Drop,EXW,0,Pre-PQ Process,11/19/07,2008-01-21,21-Jan-08,21-Jan-08,ARV,Adult,26,lisinopriL,Tenofovir Disoproxil Fumarate,Viread,300mg,Tablet,30,1000,17000.0,17.0,0.57,Gilead(Nycomed) Oranienburg DE,Yes,76,2282.57,27.2,415,63,0.030033815789473686,24.25216005110323,62.08901659224073,0,2308.6000338157896
33,270,108-VN-T01,Pre-PQ Process,SCMS-14200,ASN-1171,Vietnam,PMO - US,Direct Drop,EXW,0,Pre-PQ Process,11/21/07,2008-01-21,21-Jan-08,21-Jan-08,ARV,Adult,64,Chlothalidne,Zidovudine,Generic,300mg,Tablet,60,400,3352.0,8.38,0.14,"Ranbaxy, Paonta Shahib, India",Yes,23,2149.05,5.36,481,61,0.23359239130434784,24.25216005110323,62.08901659224073,0,2213.2835923913044
34,284,107-RW-T01,Pre-PQ Process,SCMS-14630,ASN-1253,Rwanda,PMO - US,Direct Drop,EXW,0,Pre-PQ Process,12/10/07,2008-01-31,31-Jan-08,31-Jan-08,HRDT,HIV test - Ancillary,50,Amlodipine Omeprazole,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,,Test kit - Ancillary,100,1500,15.0,0.01,0.0,Inverness Japan,Yes,99,0.75,0.02,828,52,5.050505050505051e-06,57.4797553,-4.223209,3,53.75000505050505
35,305,123-NG-T01,Pre-PQ Process,SCMS-15550,ASN-1269,Nigeria,PMO - US,Direct Drop,EXW,0,Pre-PQ Process,2006-05-02,2008-02-05,5-Feb-08,5-Feb-08,HRDT,HIV test - Ancillary,50,ranitidine,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,,Test kit - Ancillary,100,650,6.5,0.01,0.0,Inverness Japan,Yes,3424.441305712492,11103.234819296562,0.01,598,644,0.004988229669318463,57.4797553,-4.223209,3,11156.239807526232
36,343,116-ZA-T01,Pre-PQ Process,SCMS-16600,ASN-1520,South Africa,PMO - US,Direct Drop,DDP,4,Pre-PQ Process,1/4/08,2008-01-21,4-Jan-08,4-Jan-08,ARV,Pediatric,38,p.m. Alprazolam    0.25mg     1 x night Valacyclovir    1g    3x day for 7 days for flare-ups Amitriptyline    10mg    2x day  Elmiron     100mg    3x day Tamsulosin    0.4 mg    1x day Myrbetriq,Stavudine,Zerit,1mg/ml,Powder for oral solution,200,200,340.0,1.7,0.01,"BMS Meymac, France",Yes,3424.441305712492,11103.234819296562,0.54,669,17,0.016211746425285004,24.25216005110323,62.08901659224073,0,11145.251031042988
37,361,125-HT-T01,Pre-PQ Process,SCMS-14080,ASN-1318,Haiti,PMO - US,Direct Drop,EXW,0,Pre-PQ Process,2006-05-02,2008-02-18,18-Feb-08,18-Feb-08,HRDT,HIV test,70,digoxin,"HIV 1/2, Capillus HIV Kit",Capillus,,Test kit,100,2,278.0,139.0,1.39,"Trinity Biotech, Plc",Yes,3424.441305712492,11103.234819296562,0.44,297,657,1.6211746425285005,24.25216005110323,62.08901659224073,0,11174.85599393909
38,391,104-CI-T01,Pre-PQ Process,SCMS-18290,ASN-1879,Côte d'Ivoire,PMO - US,Direct Drop,EXW,0,Pre-PQ Process,2/27/08,2008-06-17,17-Jun-08,17-Jun-08,HRDT,HIV test,15,ipratropium,"HIV, Genie II HIV-1/HIV-2 Kit",Genie,,Test kit,40,476,36176.0,76.0,1.9,Bio-Rad Laboratories,Yes,509,5446.51,57.88,762,111,0.02247985834805435,33.64897205,-117.71755978070712,4,5465.532479858348
39,392,104-CI-T01,Pre-PQ Process,SCMS-18310,ASN-3435,Côte d'Ivoire,PMO - US,Direct Drop,EXW,0,Pre-PQ Process,3/3/08,2009-03-19,19-Mar-09,19-Mar-09,HRDT,HIV test,67,soul-medrol and Benadryl via IV.,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,,Test kit,25,659,13180.0,20.0,0.8,"Standard Diagnostics, Korea",Yes,206,2656.12,25.83,485,381,0.019565684989024265,24.25216005110323,62.08901659224073,0,2723.139565684989
40,398,102-GY-T01,Pre-PQ Process,SCMS-18480,ASN-1502,Guyana,PMO - US,Direct Drop,EXW,0,Pre-PQ Process,2/28/08,2008-04-09,1-Apr-08,1-Apr-08,HRDT,HIV test - Ancillary,50,once per day Atorvastatin,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,,Test kit - Ancillary,100,240,2.4,0.01,0.0,Inverness Japan,Yes,3424.441305712492,11103.234819296562,0.0,497,41,0.013509788687737504,57.4797553,-4.223209,3,11156.248329085249
41,399,102-GY-T01,Pre-PQ Process,SCMS-18500,ASN-2117,Guyana,PMO - US,Direct Drop,EXW,0,Pre-PQ Process,2/28/08,2008-07-28,28-Jul-08,28-Jul-08,HRDT,HIV test - Ancillary,50,finasteride 5 mg,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,,Test kit - Ancillary,100,213,2.13,0.01,0.0,Inverness Japan,Yes,14,360.0,0.0,813,151,0.12072434607645875,57.4797553,-4.223209,3,413.1207243460765
42,400,117-ET-T01,Pre-PQ Process,SCMS-18430,ASN-1465,Ethiopia,PMO - US,Direct Drop,DDP,4,Pre-PQ Process,2/29/08,2008-03-11,11-Mar-08,11-Mar-08,HRDT,HIV test,69,MESALAZINE,"HIV 1/2, Capillus HIV Kit",Capillus,,Test kit,100,63,13399.25,212.69,2.13,"Trinity Biotech, Plc",Yes,3424.441305712492,11103.234819296562,21.44,326,11,0.05146586166757145,24.25216005110323,62.08901659224073,0,11176.28628515823
43,410,113-ZW-T01,Pre-PQ Process,SCMS-18870,ASN-2434,Zimbabwe,PMO - US,Direct Drop,EXW,0,Pre-PQ Process,3/17/08,2008-11-17,17-Nov-08,17-Nov-08,HRDT,HIV test,50,women's health supplement,"HIV 1/2, Determine HIV Kit, without Lancets",Determine,,Test kit,100,1634,117631.66,71.99,0.72,Inverness Japan,Yes,373,4112.46,188.21,245,245,0.00674746752160031,57.4797553,-4.223209,3,4165.466747467522
44,411,123-NG-T01,Pre-PQ Process,SCMS-18940,ASN-1467,Nigeria,PMO - US,Direct Drop,EXW,0,Pre-PQ Process,3/13/08,2008-04-17,17-Apr-08,17-Apr-08,HRDT,HIV test,21,Miralax,"HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,,Test kit,20,1425,38475.0,27.0,1.35,Chembio Diagnostics Sys. Inc.,Yes,483,5468.88,61.56,548,35,0.007945777487196251,24.25216005110323,62.08901659224073,0,5489.887945777487
45,414,119-NA-T01,Pre-PQ Process,SCMS-19130,ASN-1798,Namibia,PMO - US,Direct Drop,EXW,0,Pre-PQ Process,3/18/08,2008-06-04,4-Jun-08,4-Jun-08,HRDT,HIV test,50,Vitamin,"HIV 1/2, Determine HIV Kit, without Lancets",Determine,,Test kit,100,142,10222.58,71.99,0.72,Inverness Japan,Yes,33,1715.17,16.36,971,78,0.3660200597524541,57.4797553,-4.223209,3,1768.5360200597524
46,420,108-VN-T01,Pre-PQ Process,SCMS-19490,ASN-1753,Vietnam,PMO - US,Direct Drop,EXW,0,Pre-PQ Process,3/31/08,2008-06-03,3-Jun-08,3-Jun-08,ARV,Adult,46,albuterol HFA 90 mcg/actuation inhaler Prn amitriptyline 75 mg tablet Po daily Amphetamine-Dextroamphetamine 30 mg tablet  buPROPion XL 300 mg 24 hr tablet  Cholecalciferol (Vitamin D3) 50 mcg (2,Efavirenz,Generic,600mg,Tablet,30,8400,96432.0,11.48,0.38,Mylan (formerly Matrix) Nashik,Yes,654,4051.34,154.29,678,64,0.0007374654143002767,24.25216005110323,62.08901659224073,0,4097.340737465414
47,422,116-ZA-T01,Pre-PQ Process,SCMS-19800,ASN-1665,South Africa,PMO - US,Direct Drop,DDP,3,Pre-PQ Process,2/20/08,2008-04-24,24-Apr-08,24-Apr-08,ARV,Adult,58,Metoprolol 25mg,Saquinavir,Invirase,200mg,Capsule,270,6,405.06,67.51,0.25,Roche Basel,Yes,3424.441305712492,11103.234819296562,0.65,789,64,0.5403915475095001,47.55968225,7.607328500951973,5,11169.77521084407
48,423,116-ZA-T01,Pre-PQ Process,SCMS-19800,ASN-1665,South Africa,PMO - US,Direct Drop,DDP,3,Pre-PQ Process,2/20/08,2008-04-24,24-Apr-08,24-Apr-08,ARV,Pediatric,58,Losartan-HCTZ,Stavudine,Zerit,1mg/ml,Powder for oral solution,200,600,870.0,1.45,0.01,"BMS Meymac, France",No,3424.441305712492,11103.234819296562,1.39,310,64,0.005403915475095002,24.25216005110323,62.08901659224073,0,11164.240223212037
49,438,108-VN-T01,Pre-PQ Process,SCMS-20310,ASN-1923,Vietnam,PMO - US,Direct Drop,CIP,0,Pre-PQ Process,3/31/08,2008-07-12,12-Jul-08,12-Jul-08,ARV,Pediatric,18,Enteric ASA,Didanosine,Videx,25mg,Chewable/dispersible tablet,60,400,2800.0,7.0,0.12,"BMS Meymac, France",Yes,81,2211.05,4.48,17,103,0.0682422839506173,24.25216005110323,62.08901659224073,0,2229.1182422839506
50,459,116-ZA-T01,Pre-PQ Process,SCMS-21460,ASN-1667,South Africa,PMO - US,Direct Drop,DDP,4,Pre-PQ Process,4/4/08,2008-04-25,7-Apr-08,7-Apr-08,ARV,Pediatric,58,metoprolol 25,Didanosine,Videx,25mg,Chewable/dispersible tablet,60,6,77.1,12.85,0.21,"BMS Meymac, France",Yes,3424.441305712492,11103.234819296562,0.12,604,21,0.5403915475095001,24.25216005110323,62.08901659224073,0,11165.77521084407
51,464,102-NG-T01,Pre-PQ Process,SCMS-21540,ASN-2008,Nigeria,PMO - US,Direct Drop,EXW,0,Pre-PQ Process,2006-05-02,2008-07-09,9-Jul-08,9-Jul-08,HRDT,HIV test,50,B-Complex,"HIV 1/2, Determine HIV Kit, without Lancets",Determine,,Test kit,100,5498,439785.02,79.99,0.8,Inverness Japan,Yes,1251,16090.22,703.66,715,799,0.002339375498509886,57.4797553,-4.223209,3,16143.222339375498
52,465,102-NG-T01,Pre-PQ Process,SCMS-21540,ASN-2011,Nigeria,PMO - US,Direct Drop,EXW,0,Pre-PQ Process,2006-05-02,2008-07-09,4-Jul-08,4-Jul-08,HRDT,HIV test - Ancillary,50,ometrosval,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,,Test kit - Ancillary,100,5498,54.98,0.01,0.0,Inverness Japan,Yes,3424.441305712492,11103.234819296562,0.09,956,799,0.0005897325000103676,57.4797553,-4.223209,3,11156.235409029063
53,466,117-ET-T01,Pre-PQ Process,SCMS-21550,ASN-1741,Ethiopia,PMO - US,Direct Drop,DDP,0,Pre-PQ Process,2006-05-02,2008-05-09,9-May-08,9-May-08,HRDT,HIV test,69,Vitamin D with Calcium,"HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,,Test kit,20,15,691.42,46.09,2.3,"Trinity Biotech, Plc",Yes,3424.441305712492,11103.234819296562,1.11,329,738,0.21615661900380007,24.25216005110323,62.08901659224073,0,11172.450975915566
